,转A不转B,不转A转B,转A转B,不转A不转B
1,0,41,0,109959
2,0,466,0,109534
3,0,1741,0,108259
4,0,2179,0,107821
5,0,2428,0,107572
6,0,2508,0,107492
7,0,2554,0,107446
8,0,2621,0,107379
9,0,2718,0,107282
10,0,2962,0,107038
11,456,3404,46,106094
12,1269,3911,120,104700
13,2555,4179,214,103052
14,4608,4250,317,100825
15,7963,4363,421,97253
16,11945,4475,519,93061
17,14964,4552,612,89872
18,18042,4620,689,86649
19,21191,4835,849,83125
20,25611,5210,1079,78100
21,28549,5337,1198,74916
22,30599,5601,1294,72506
23,32816,6076,1445,69663
24,35065,6506,1611,66818
25,37410,7041,1724,63825
26,40136,7972,1879,60013
27,42989,8590,2002,56419
28,45321,8935,2083,53661
29,46325,9053,2119,52503
30,46799,9101,2143,51957
31,47150,9124,2152,51574
32,47512,9154,2159,51175
33,48213,9179,2178,50430
34,49742,9238,2203,48817
35,51780,9332,2254,46634
36,53849,9446,2301,44404
37,55887,9581,2358,42174
38,57673,9712,2400,40215
39,59399,9813,2452,38336
40,61239,9896,2578,36287
41,63126,9984,2651,34239
42,64416,10011,2710,32863
43,65820,10019,2756,31405
44,66754,10025,2788,30433
45,67604,10029,2822,29545
46,68847,10036,2848,28269
47,69786,10045,2886,27283
48,70649,10063,2909,26379
49,71718,10068,2937,25277
50,73100,10058,2963,23879
51,74238,10044,3005,22713
52,74783,10032,3034,22151
53,75068,10030,3041,21861
54,75221,10027,3047,21705
55,75345,10027,3049,21579
56,75458,10032,3052,21458
57,75609,10032,3060,21299
58,75833,10029,3069,21069
59,76262,10021,3087,20630
60,76921,10011,3112,19956
61,77886,10007,3130,18977
62,78505,10004,3145,18346
63,79263,9990,3165,17582
64,80015,9981,3181,16823
65,80954,9983,3194,15869
66,81245,9985,3202,15568
67,81480,9993,3212,15315
68,81652,10007,3223,15118
69,81949,10018,3238,14795
70,82222,10015,3252,14511
71,82551,10021,3261,14167
72,82923,10023,3274,13780
73,83299,10022,3301,13378
74,83720,10020,3430,12830
75,84110,10017,3547,12326
76,84110,10017,3547,12326
77,84110,10017,3547,12326
78,84110,10017,3547,12326
79,84110,10017,3547,12326
80,84110,10017,3547,12326
81,84110,10017,3547,12326
82,84110,10017,3547,12326
83,84110,10017,3547,12326
84,84110,10017,3547,12326
85,84110,10017,3547,12326
86,84110,10017,3547,12326
87,84110,10017,3547,12326
88,84110,10017,3547,12326
89,84110,10017,3547,12326
90,84110,10017,3547,12326
91,84110,10017,3547,12326
92,84110,10017,3547,12326
93,84110,10017,3547,12326
94,84110,10017,3547,12326
95,84110,10017,3547,12326
96,84110,10017,3547,12326
97,84110,10017,3547,12326
98,84110,10017,3547,12326
99,84110,10017,3547,12326
100,84110,10017,3547,12326
